t,theta,beta,gamma,in_stance
0.559881,1.573396,-0.000000,0.000000,1
0.560881,1.567037,-0.000000,0.000000,1
0.561880,1.560811,-0.000000,0.000000,1
0.562880,1.554724,-0.000000,0.000000,1
0.563880,1.548784,-0.000000,0.000000,1
0.564880,1.542995,-0.000000,0.000000,1
0.565880,1.537366,-0.000000,0.000000,1
0.566879,1.531901,-0.000000,0.000000,1
0.567879,1.526606,-0.000000,0.000000,1
0.568879,1.521486,-0.000000,0.000000,1
0.569879,1.516548,-0.000000,0.000000,1
0.570879,1.511795,-0.000000,0.000000,1
0.571878,1.507234,-0.000000,0.000000,1
0.572878,1.502868,-0.000000,0.000000,1
0.573878,1.498701,-0.000000,0.000000,1
0.574878,1.494739,-0.000000,0.000000,1
0.575877,1.490985,-0.000000,0.000000,1
0.576877,1.487443,-0.000000,0.000000,1
0.577877,1.484116,-0.000000,0.000000,1
0.578877,1.481009,-0.000000,0.000000,1
0.579877,1.478122,-0.000000,0.000000,1
0.580876,1.475461,-0.000000,0.000000,1
0.581876,1.473027,-0.000000,0.000000,1
0.582876,1.470823,-0.000000,0.000000,1
0.583876,1.468850,-0.000000,0.000000,1
0.584876,1.467112,-0.000000,0.000000,1
0.585875,1.465609,-0.000000,0.000000,1
0.586875,1.464343,-0.000000,0.000000,1
0.587875,1.463316,-0.000000,0.000000,1
0.588875,1.462527,-0.000000,0.000000,1
0.589874,1.461979,-0.000000,0.000000,1
0.590874,1.461671,-0.000000,0.000000,1
0.591874,1.461605,-0.000000,0.000000,1
0.592874,1.461779,-0.000000,0.000000,1
0.593874,1.462194,-0.000000,0.000000,1
0.594873,1.462849,-0.000000,0.000000,1
0.595873,1.463744,-0.000000,0.000000,1
0.596873,1.464878,-0.000000,0.000000,1
0.597873,1.466250,-0.000000,0.000000,1
0.598873,1.467858,-0.000000,0.000000,1
0.599872,1.469701,-0.000000,0.000000,1
0.600872,1.471777,-0.000000,0.000000,1
0.601872,1.474084,-0.000000,0.000000,1
0.602872,1.476619,-0.000000,0.000000,1
